,,,
sign_name,abz_number,meszl_number,image
SU4,113,hansi,sign_113.bmp
SUD,373,221,sign_373.bmp
EDURU,583,,sign_583.bmp
NIK,563,,sign_563.bmp
RAD,83,,sign_83.bmp
TÙM,434,,sign_434.bmp
BANLIMMU,340,,sign_340.bmp
ŠÍK,539,,sign_539.bmp
KIL,483,,sign_483.bmp
ŠA,353,,sign_353.bmp
ŠÁ,597,,sign_597.bmp
BAPPIR,225,,sign_225.bmp
KÁD,063a,,sign_63a.bmp
PA,295,,sign_295.bmp
IS,296,,sign_296.bmp
TAG,126,,sign_126.bmp
ṬU,595,,sign_595.bmp
LIL,336,,sign_336.bmp
NIGIN,529,,sign_NIGIN.bmp
DAR,114,,sign_114.bmp
KIB,228,,sign_228.bmp
GAB,167,,sign_167.bmp
PAN,439,,sign_439.bmp
BURU14,54,,sign_054.bmp
SILA4,252,,sign_252.bmp
GIG,446,,sign_446.bmp
DAH,169,,sign_169.bmp
LUH,321,,sign_321.bmp
DAG,280,,sign_280.bmp
NAB,129,,sign_NAB.bmp
MÁŠ,76,,sign_076.bmp
ÙZ,122 b,,sign_122.bmp
U8,494,,sign_494.bmp
AMAR,437,,sign_437.bmp
BUL,515,,sign_515.bmp
ÙR,255,,sign_255.bmp
GAM,362,,sign_362.bmp
GÁ,233,,sign_233.bmp
AMA,237,,sign_237.bmp
DUB,138,,sign_138.bmp
EL,564,,sign_564.bmp
NAGAR,560,,sign_560.bmp
GARIM,513,,sign_513.bmp
DU6,459 a,,sign_886.bmp
AR,451,,sign_451.bmp
SÙH,569,,sign_569.bmp
LAM,435,,sign_435.bmp
GIR4,430,,sign_430.bmp
ŠAR,331 e,,sign_887.bmp
SIPA,295 m,,sign_888.bmp
BÀD,152^8,,sign_153.bmp
KAB,88,,sign_088.bmp
KUN,77,,sign_077.bmp
HAL,2,,sign_002.bmp
MUD,81,,sign_81.bmp
AŠ,1,,sign_01.bmp
KAB,88,,sign_88.bmp
KAR,376*,,sign_870.bmp
MUŠ,374,,sign_374.bmp
MÙŠ,103,,sign_103.bmp
DUL,459,,sign_459.bmp
ŠUL,467,,sign_467.bmp
GÉME,558,,sign_558.bmp
GAŠAN,350,,sign_350.bmp
ME,532,,sign_532.bmp
ANŠE,208,,sign_208.bmp
NI,231,,sign_NI.bmp
GUD,297,,sign_297.bmp
KASKAL,166,,sign_166.bmp
ŠIM,215,,sign_215.bmp
EŠ,472,,sign_472.bmp
ŠÁM,187,,sign_187.bmp
LÁ,481,,sign_LÁ.bmp
ṢI,147,,sign_147.bmp
LUL,355,,sign_355.bmp
NIM,433,,sign_433.bmp
SAL,554,,sign_554.bmp
GIM,440,,sign_440.bmp
BAR,74,,sign_074.bmp
SA6,356,,sign_356.bmp
UŠ,211,,sign_211.bmp
TUR,144,,sign_144.bmp
IB,535,,sign_535.bmp
IR,232,,sign_232.bmp
PAP,60,,sign_060.bmp
MIR,347,,sign_347.bmp
SUR,101,,sign_101.bmp
ÚR,203,,sign_203.bmp
KÍD,063 d,,sign_874.bmp
GAD,90,,sign_090.bmp
LUGAL,151,,sign_151.bmp
GAL,343,,sign_343.bmp
GAG,230,,sign_230.bmp
MAN,471,,sign_471.bmp
DIŠ,480,,sign_480.bmp
DIR,123,,sign_123.bmp
SUM,164,,sign_164.bmp
KIŠ,425,,sign_425.bmp
TIK,106,,sign_106.bmp
TE,376,,sign_376.bmp
ÁB,420,,sign_420.bmp
KÁD,063 a,,sign_063.bmp
ŠÌR,152,,sign_152.bmp
URU,38,,sign_38.bmp
MAH,57,,sign_57.bmp
QA,62,,sign_62.bmp
BE,69,,sign_69.bmp
APIN,56,,sign_56.bmp
IÁ,598 a,,sign_598.bmp
IA,142 a,,sign_758.bmp
BÁRA,344,,sign_344.bmp
TIR,375,,sign_375.bmp
KIN,538,,sign_538.bmp
TAB,124,,sign_124.bmp
KUL,72,,sign_72.bmp
PAD,469,,sign_PAD.bmp
ZIB,395,,sign_395.bmp
SIG4,567,,sign_567.bmp
ZAR,491,,sign_491.bmp
ZUM,555,,sign_555.bmp
BAL,9,,sign_009.bmp
NUN,87,,sign_087.bmp
BI,214,,sign_214.bmp
RAB,149,,sign_149.bmp
NU,75,,sign_75.bmp
ŠE,367,,sign_367.bmp
ARAD,50,,sign_050.bmp
ZI,84,,sign_84.bmp
IL,205,,sign_205.bmp
