,context,id,identifier,image,note,reading,sign,tablet
0,I.d.UTU-DÙ,12517,85d4c286-2e08-4b3d-a52e-3766c3d3de44__nbn-103,glyph_img/85d4c286-2e08-4b3d-a52e-3766c3d3de44__nbn-103.png,l.19 (PN),DÙ,74,656
1,I.ki-ne-nu-na-a-a,12516,e6dd5c27-0b57-44bb-9e77-f7acef6fef56__nbn-103,glyph_img/e6dd5c27-0b57-44bb-9e77-f7acef6fef56__nbn-103.png,l.18 (pn),ki,193,656
2,I.d+AG-di-i-ni-e-pu-uš,12515,331ccc3f-0d98-47d8-8a1b-b76d38e2abd0__nbn-103,glyph_img/331ccc3f-0d98-47d8-8a1b-b76d38e2abd0__nbn-103.png,l.17 (PN),pu,137,656
3,I.d+AG-di-i-ni-e-pu-uš,12514,58e39941-da1e-4e32-9fc7-3c5b9b8bc1df__nbn-103,glyph_img/58e39941-da1e-4e32-9fc7-3c5b9b8bc1df__nbn-103.png,l.17 (PN),ni,210,656
4,I.d+AG-di-i-ni-e-pu-uš,12513,44279c78-ec37-447b-af54-f17966f7b2d2__nbn-103,glyph_img/44279c78-ec37-447b-af54-f17966f7b2d2__nbn-103.png,l.17 (PN),di,192,656
5,I.d+AG-EN-šú-nu,12512,f7c9575c-0c7a-4e2d-8deb-0c8c58734374__nbn-103,glyph_img/f7c9575c-0c7a-4e2d-8deb-0c8c58734374__nbn-103.png,l.16 (pn),EN,233,656
6,LÚ.mu-kin-nu,12511,6f9f87b7-838c-4e01-ae8e-7956224fea23__nbn-103,glyph_img/6f9f87b7-838c-4e01-ae8e-7956224fea23__nbn-103.png,l.16,kin,86,656
7,LÚ.mu-kin-nu,12510,08602434-3887-48f7-819b-fdae7a2cfb20__nbn-103,glyph_img/08602434-3887-48f7-819b-fdae7a2cfb20__nbn-103.png,l.16,LÚ,128,656
8,pi-i,12509,ae5c1aab-8533-4688-9cd6-da8397b10cc5__nbn-103,glyph_img/ae5c1aab-8533-4688-9cd6-da8397b10cc5__nbn-103.png,l.8,pi,139,656
9,e-le-e-nu-ú,12508,c9a829ea-4b02-44e0-b13d-c0de33700e1a__nbn-103,glyph_img/c9a829ea-4b02-44e0-b13d-c0de33700e1a__nbn-103.png,l.5,ú,124,656
10,e-le-e-nu-ú,12507,3082b3cb-8dab-494f-ad4d-7e25c2175aa4__nbn-103,glyph_img/3082b3cb-8dab-494f-ad4d-7e25c2175aa4__nbn-103.png,l.5,le,175,656
11,i-nam-din-nu-'u,12506,75fccab3-2eb9-4c08-91f4-ea2796948127__nbn-103,glyph_img/75fccab3-2eb9-4c08-91f4-ea2796948127__nbn-103.png,l.4,nu,226,656
12,i-nam-din-nu-'u,12505,d8d3c428-d4a9-4263-9a73-166dd914349c__nbn-103,glyph_img/d8d3c428-d4a9-4263-9a73-166dd914349c__nbn-103.png,l.4,din,103,656
13,i-nam-din-nu-'u,12504,2d89a9f0-39c7-494d-8eb2-ac58a236d1a4__nbn-103,glyph_img/2d89a9f0-39c7-494d-8eb2-ac58a236d1a4__nbn-103.png,l.4,nam,169,656
14,i-nam-din-nu-'u,12503,5d147552-f1f3-435e-aaba-5734b731f37f__nbn-103,glyph_img/5d147552-f1f3-435e-aaba-5734b731f37f__nbn-103.png,l.4,i,155,656
15,UR5.RA-šú,12502,7461d14a-d7b5-438c-84a6-55cd6a6d9428__nbn-103,glyph_img/7461d14a-d7b5-438c-84a6-55cd6a6d9428__nbn-103.png,l.4,šú,113,656
16,UR5.RA-šú,12501,8b9ec86a-0dc6-4c60-a53a-609926137ec1__nbn-103,glyph_img/8b9ec86a-0dc6-4c60-a53a-609926137ec1__nbn-103.png,l.4,RA,127,656
17,UR5.RA,12500,257c8c20-99b4-4da1-ba80-e0a7b6418f61__nbn-103,glyph_img/257c8c20-99b4-4da1-ba80-e0a7b6418f61__nbn-103.png,l.4,UR5,185,656
